trindex_predict,trdate
102.00446845971712,2013-01-01
102.14272303509873,2013-02-01
102.26715236880982,2013-03-01
102.40437288579034,2013-04-01
102.5066519167384,2013-05-01
102.61479279230441,2013-06-01
102.80881328453383,2013-07-01
103.17399878650882,2013-08-01
103.62408701898008,2013-09-01
104.01083359017564,2013-10-01
104.31529420690266,2013-11-01
104.56743635053205,2013-12-01
104.80765424254666,2014-01-01
105.03094126083701,2014-02-01
105.21446019750127,2014-03-01
105.40607126597111,2014-04-01
105.57847848783923,2014-05-01
105.74476982179915,2014-06-01
105.90548168755258,2014-07-01
106.08615698833758,2014-08-01
106.26475135495801,2014-09-01
106.40376883367352,2014-10-01
106.49157912578646,2014-11-01
106.54519874097996,2014-12-01
106.60216897531623,2015-01-01
106.6508501455396,2015-02-01
106.69690831228182,2015-03-01
106.80501446569316,2015-04-01
107.00921527211278,2015-05-01
107.2747184924162,2015-06-01
107.5065510180975,2015-07-01
107.693305212008,2015-08-01
107.85688645103602,2015-09-01
108.00491493348653,2015-10-01
108.17041460345798,2015-11-01
108.31798315492577,2015-12-01
108.4009501544488,2016-01-01
108.34940218891361,2016-02-01
108.24307265585834,2016-03-01
108.20114771869771,2016-04-01
108.27694662098727,2016-05-01
108.42298477706774,2016-06-01
108.60659230549363,2016-07-01
108.85672807171584,2016-08-01
109.149075210551,2016-09-01
109.40759688090732,2016-10-01
109.63137996219275,2016-11-01
